0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
27/12/2008,91.94(78.76),64.40(50.85),90.54(76.33)
20/12/2008,93.05(79.52),69.49(52.44),86.83(73.82)
13/12/2008,93.54(77.46),66.30(50.42),86.51(72.10)
06/12/2008,97.66(75.39),62.57(49.85),89.80(70.43)
29/11/2008,98.49(73.92),68.34(48.72),92.35(69.33)
22/11/2008,97.82(73.24),73.30(47.38),92.10(68.09)
15/11/2008,99.18(72.64),72.95(45.74),92.65(66.92)
08/11/2008,100.13(73.42),69.31(45.12),95.98(66.10)
01/11/2008,99.14(71.27),79.21(44.56),94.08(65.88)
25/10/2008,106.57(70.53),84.78(43.64),102.69(62.34)
18/10/2008,106.50(71.50),87.23(43.41),102.06(58.72)
11/10/2008,N.S.(70.30),85.03(44.10),85.03(64.89)
04/10/2008,104.43(68.75),84.50(44.94),99.96(64.11)
27/09/2008,105.07(68.24),89.86(45.27),102.06(63.10)
20/09/2008,102.90(67.66),87.43(45.22),99.85(62.58)
13/09/2008,97.99(67.04),75.35(45.29),94.05(62.33)
06/09/2008,96.59(68.14),76.62(45.12),91.67(62.29)
30/08/2008,95.42(67.65),74.36(40.93),90.69(63.37)
23/08/2008,95.84(68.09),74.96(46.01),91.14(62.75)
16/08/2008,95.28(68.95),75.65(44.25),90.15(63.51)
09/08/2008,93.71(68.90),71.81(44.52),88.02(62.68)
02/08/2008,92.68(69.87),69.47(44.82),85.75(64.31)
26/07/2008,92.38(71.65),65.44(45.22),85.06(65.37)
19/07/2008,91.82(71.54),63.86(45.34),83.78(65.07)
12/07/2008,92.39(73.15),63.02(44.89),83.09(66.22)
05/07/2008,92.94(75.36),63.26(45.28),83.64(67.57)
28/06/2008,95.49(77.62),64.14(45.99),84.59(67.91)
21/06/2008,96.31(78.37),62.76(46.87),84.35(66.81)
14/06/2008,94.40(77.90),60.78(48.24),80.17(65.52)
07/06/2008,90.91(75.34),59.41(49.24),76.92(63.80)
31/05/2008,89.52(74.46),58.05(49.81),76.03(64.42)
24/05/2008,89.30(72.00),57.29(51.09),76.46(64.59)
17/05/2008,89.08(71.34),55.63(51.37),76.46(65.92)
10/05/2008,88.31(71.10),55.63(52.24),75.55(65.67)
03/05/2008,88.47(72.90),56.81(52.64),76.88(66.28)
26/04/2008,91.50(76.05),57.08(53.01),74.59(67.29)
19/04/2008,92.98(78.24),56.02(52.84),64.74(66.48)
12/04/2008,87.85(82.36),55.77(53.32),63.31(64.19)
05/04/2008,79.57(76.16),55.42(47.22),59.25(58.31)
29/03/2008,63.50(54.23),56.03(53.24),57.66(53.58)
22/03/2008,58.96(N.S.),55.21(53.54),56.59(53.54)
15/03/2008,N.S.(54.39),57.26(54.64),57.26(54.53)
08/03/2008,65.91(53.51),56.59(49.04),63.72(52.63)
01/03/2008,56.12(N.S.),55.33(54.17),55.57(54.17)
23/02/2008,61.57(57.28),54.71(54.81),58.52(56.62)
16/02/2008,64.18(57.35),53.73(52.64),60.5(55.15)
09/02/2008,64.51(60.5),53.9(52.48),61.35(58.63)
02/02/2008,65.82(62.35),54.63(52.77),63.34(60.28)
26/01/2008,68.19(61.17),52.96(53.86),64.19(59.43)
19/01/2008,72.22(62.64),54.15(52.82),68(60.35)
12/01/2008,74.22(63.19),54.1(51.52),69.99(60.46)
05/01/2008,75.95(63.36),54.41(50.78),71.64(60.78)
