Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
29/12/2018,151.87(149.17),133.51(136.80),142.60(131.79),NS(NS),,NS(NS),NS(NS),NS(NS),88.46(65.60)
22/12/2018,154.33(147.62),137.02(139.79),144.23(131.38),NS(NS),,122.90(110.07),96.61(83.75),105.66(92.51),89.04(63.94)
15/12/2018,155.64(155.58),140.67(140.58),148.93(129.78),NS (NS),,123.21(108.91),97.73(81.42),111.75(90.50),89.23(64.13)
08/12/2018,159.12(157.88),143.55(140.01),146.49(128.02),NS(NS),,124.83(109.23),101.74(77.74),112.35(90.12),92.22(63.66)
01/12/2018,160.37(157.66),147.55(142.47),151.40(131.47),NS(NS),,125.1(110.34),102.90(74.75),114.91(89.87),94.29(65.14)
24/11/2018,158.48(159.51),147.28(143.61),146.67(133.55),NS(NS),,124.40(110.67),101.89(75.13),112.07(91.90),93.74(65.46)
17/11/2018,159.47(157.92),147.43(142.04),146.60(133.26),NS(NS),,121.96(109.51),99.99(76.38),109.37(89.79),90.15(67.92)
10/11/2018,163.10(159.63),151.88(144.19),138.11(131.20),NS(NS),,120.89(109.41),NS(77.57),NS (93.38),85.73(66.73)
27/10/2018,160.44(159.21),149.95(152.04),141.61(129.01),NS(NS),,121.27(107.81),92.85(80.62),108.00(89.88),79.19(66.86)
13/10/2018,164.21(160.37),148.63(153.66),136.28(128.37),NS(NS),,123.20(109.69),93.38(81.14),108.65(89.01),80.18(62.51)
20/10/2018,NS(159.12),NS(148.86),NS(132.99),NS(NS),,123.02(110.17),92.28(NS),107.42(NS),78.98(NS)
06/10/2018,160.79(165.01),148.20(151.24),135.01(127.20),NS(NS),,125.51(106.27),93.90(79.82),113.47(90.73),80.65(61.87)
29/09/2018,160.65(NS),147.19(NS),131.94(NS),NS(NS),,132.56(106.87),94.70(78.85),110.80(84.35),86.11(60.06)
22/09/2018,162.13(162.78),148.76(153.70),134.49(127.38),NS(NS),,137.18(109.36),95.03(76.57),112.81(82.93),84.91(56.74)
15/09/2018,162.45(153.92),150.93(149.57),138.42(126.73),NS(NS),,132.27(105.59),95.03(70.75),111.79(80.81),83.32(55.60)
08/09/2018,161.30(160.59),154.19(147.99),140.40(124.18),NS(NS),,134.41(NS),94.27(67.57),110.11(78.13),82.68(58.58)
01/09/2018,161.86(156.33),156.83(149.87),138.80(124.67),NS(NS),,134.02(108.04),93.96(64.22),108.09(82.15),81.55(60.51)
25/08/2018,162.97(163.05),156.72(153.43),137.74(124.43),NS (NS),,NS(109.92),91.49(64.23),101.24(81.25),75.53(62.94)
18/08/2018,169.98(165.98),157.95(153.11),138.87(126.25),NS(NS),,121.85(108.51),86.39(65.60),98.66(81.48),68.79(58.90)
11/08/2018,172.28(164.03),160.61(156.38),139.98(124.33),NS(NS),,123.16(108.51),85.83(69.57),97.35(84.31),68.56(61.27)
04/04/2018,175.72(154.56),162.69(156.27),142.63(127.64),NS(NS),,119.11(106.82),83.83(73.75),94.03(83.33),65.59(62.51)
28/07/2018,174.90(162.98),164.44(153.23),145.01(126.41),NS(NS),,118.52(106.11),81.98(74.01),91.69(80.45),65.57(62.86)
