0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
29/12/2018,141.50 (139.21),88.46 (65.60),140.23 (137.50)
22/12/2018,144.26 (139.79),105.02 (90.45),136.37 (130.51)
15/12/2018,147.09 (142.40),105.83 (89.89),138.88 (133.04)
08/12/2018,149.38 (142.67),109.38 (87.39),142.55 (132.80)
01/12/2018,152.47 (144.72),109.27 (86.71),145.12 (134.52)
24/11/2018,150.44 (145.73),108.99 (87.33),142.14 (134.82)
17/11/2018,150.63 (144.48),107.59 (86.87),142.39 (133.20)
10/11/2018,150.60 (145.67),111.74 (87.94),143.71 (133.42)
27/10/2018,150.40 (147.24),102.10 (85.75),140.84 (134.50)
13/10/2018,149.09 (148.83),103.09 (90.04),140.75 (139.70)
20/10/2018,NS (150.38),103.66 (110.17),103.66 (146.60)
06/10/2018,148.21 (145.47),102.68 (86.39),141.33 (133.74)
29/09/2018,147.20(NS),104.81(86.18),141.65(86.18)
22/09/2018,148.68 (148.24),108.17 (84.06),141.70 (135.90)
15/09/2018,150.78 (143.03),104.41 (80.96),143.48 (129.85)
08/09/2018,152.34 (143.25),101.30 (69.00),144.80 (130.91)
01/09/2018,152.97 (144.05),106.42 (78.14),145.43 (129.72)
25/08/2018,152.66 (147.57),90.57 (79.34),144.40 (133.72)
18/08/2018,155.09 (149.11),97.38 (79.29),143.68 (134.47)
11/08/2018,158.01 (147.38),92.83 (84.96),146.90 (135.40)
04/04/2018,159.97 (145.68),93.41 (84.05),145.84 (130.89)
28/07/2018,161.05 (146.26),91.53 (83.99),145.36 (131.56)
21/07/2018,161.80 (147.95),88.58 (80.77),142.93 (129.64)
14/07/2018,160.99 (146.90),89.60 (87.57),142.39 (136.10)
07/07/2018,162.26 (151.11),86.93 (98.91),141.30 (143.32)
30/06/2018,165.89 (150.71),87.32 (84.65),142.60 (134.98)
23/06/2018,164.09 (153.88),88.63 (86.98),141.59 (135.25)
16/06/2018,156.02 (153.94),89.16 (87.82),137.19 (133.94)
09/06/2018,151.75 (145.84),88.57 (88.13),131.74 (126.34)
02/06/2018,151.18 (137.62),88.41 (89.46),129.96 (122.46)
26/05/2018,148.75 (135.39),87.79 (93.91),128.60 (121.90)
19/05/2018,149.43 (139.24),90.03 (98.20),128.79 (124.71)
12/05/2018,149.35 (142.62),93.89 (97.40),129.82 (123.92)
05/05/2018,148.86 (142.28),98.95 (98.15),132.36 (124.09)
28/04/2018,152.22 (145.09),100.22 (104.34),134.41 (129.89)
21/04/2018,151.98 (145.52),103.69 (113.18),130.69 (132.80)
14/04/2018,144.86 (141.98),101.77 (104.29),125.09 (127.35)
07/04/2018,146.44 (124.34),103.23 (116.17),118.72 (120.15)
31/03/2018,96.47 (114.71),92.73 (117.03),94.81 (116.11)
24/03/2018,99.48 (101.96),104.14 (116.47),102.22 (110.44)
17/03/2018,NS (107.42),103.33 (116.33),103.33 (110.77)
10/03/2018,95.27 (107.85),102.81 (117.46),99.00 (110.98)
03/03/2018,105.67 (106.37),102.59 (118.95),104.52 (109.36)
24/02/2018,103.66 (110.35),104.13 (116.54),103.78 (111.95)
17/02/2018,106.88(110.32),103.89(115.80),106.42(111.35)
10/02/2018,108.30 (110.95),103.85 (114.37),107.50 (111.46)
03/02/2018,113.31 (112.87),102.62(112.38),111.32(112.79)
27/01/2018,114.86(115.90),99.12(111.21),111.09(115.06)
20/01/2018,125.22(123.01,97.20 (111.18),119.68 (120.74)
14/01/2018,127.51 (124.87),97.74 (110.38),121.18 (122.11)
07/01/2018,134.82 (129.46),94.84 (109.15),127.16 (125.48)
