Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
15/07/2023,234.52(276.29),213.92(207.34),184.32(180.06),NS(NS),163.34(177.94),129.37(145.54),91.78(78.01),105.58(96.5),82.44(70.89)
08/07/2023,235.48(284),215.75(210.28),182.15(187.17),NS(NS),167.51(188.64),132.53(143.79),93.53(77.56),105.79(95.53),84.79(68.81)
01/07/2023,237.77(291.61),214.07(214.97),187.14(198.41),NS(NS),152.62(163.33),135.64(138.79),95.69(77.6),106.82(95.92),87.19(68.49)
24/06/2023,235.24(288.1),213.43(215.25),186.53(203.85),NS(NS),188.74(298.67),133.51(136.83),98.00(93.14),106.54(95.94),91.00(72.34)
17/06/2023,236.57(280.56),217.3(216.46),180.94(207.27),NS(NS),142.35(185.91),134.23(131.01),97.45(78.25),106.67(99.32),89.22(74.12)
10/06/2023,227(237.97),215.7(201.06),180.21(202.03),NS(NS),162.86(192.2),136.87(130.8),97.37(82.10),107.61(97.05),90.01(74.56)
03/06/2023,210.22(215.66),206.43(184.72),179.91(191.63),NS(NS),152.34(232.37),137.33(133.84),94.72(86.67),106.05(97.84),90.31(74.54)
27/05/2023,200.46(209.88),193.03(176.69),182.67(180.78),NS(NS),172.86(152.05),138.44(134.47),96.8(87.35),110.5(97.29),93.04(74.77)
20/05/2023,196.92(219.48),183.68(179.25),182.7(174.14),NS(NS),164.4(153),140.96(136.27),101.52(87.56),111.44(102.04),95.97(78.46)
13/05/2023,207.04(218.6),191.25(184.92),181.91(175.92),NS(NS),158.89(172.29),144.98(137.00),104.92(89.01),116.9(101.64),104.58(81.16)
06/05/2023,209.78(238.97),193.83(196.65),175.95(184.57),NS(NS),160.77(159.74),147.28(139.57),109.27(90.76),118.68(101.87),107.99(79.72)
29/04/2023,220.28(258.2),201.53(216.99),176.79(203.41),NS(NS),201.24(198.7),145.85(138.47),110.81(92.48),121.44(102.35),106.45(80.26)
22/04/2023,223.66(261.00),214.50(252.32),182.95(229.12),NS(NS),162.07(186.66),143.82(139.27),112.22(92.52),123.82(103.46),104.91(79.29)
15/04/2023,209.95(235.68),223.66(277.12),188.18(227.47),NS(NS),226.70(199.62),142.94(NS),110.24(92.95),124.42(97.74),105.15(80.37)
08/04/2023,212.25(213.17),216.60(250.50),201.48(265.10),NS(NS),193.93(NS),NS(135.35),110.37(92.20),123.49(99.92),105.21(79.25)
01/04/2023,NS(NS),173.02(127.74),199.27(178.71),NS(NS),NS(NS),144.50(139.52),111.19(91.26),119.12(97.40),107.84(80.78)
25/03/2023,156.81(149.09),140.46(NS),154.17(NS),NS(NS),NS(NS),147.06(136.13),113.94(91.58),125.08(98.84),109.27(79.86)
18/03/2023,NS(NS),NS(NS),NS(NS),NS(NS),NS(NS),150.17(134.95),115.74(90.07),124.6(99.4),106.86(81.34)
11/03/2023,145.76(NS),136.56(NS),139.16(NS),NS(NS),NS(100.59),150.04(137.25),115.93(93.45),126.46(102.00),108.45(84.89)
04/03/2023,153.2(NS),143.94(130.19),130.25(NS),NS(NS),NS(NS),149.49(139.13),117.81(98.57),125.82(103.74),109.2(87.26)
25/02/2023,NS(145.09),NS(NS),NS(121.5),NS(NS),NS(109.58),151.46(140.95),117.95(101.88),128.45(107.92),112.18(88.82)
18/02/2023,156.81(NS),139.44(134.22),132.68(NS),NS(NS),NS(NS),152.59(144.05),118.4(103.51),128(111.29),115.73(89.25)
11/02/2023,150.25(148.76),140.81(140.54),132.89(NS),NS(NS),116.08(NS),152.51(143.34),119.79(104.49),129.64(111.99),117.79(90.71)
04/02/2023,153.5(161.68),141.91(146.54),132.78(129.89),NS(NS),NS(120.42),153.28(142.33),118.91(103.16),130.73(112.97),113.39(91.26)
28/01/2023,160.42(NS),140.79(146.93),140.01(139.98),NS(NS),119.41(127.18),151.97(143.51),118.07(104.4),127.44(110.06),111.19(89.92)
21/01/2023,160.43(166.25),139.98(148.30),138.39(146.52),NS(NS),114.83(120.57),148.87(145.50),115.69(100.89),127.67(108.97),108.78(88.30)
14/01/2023,169.60(175.91),145.18(151.53),145.15(152.10),NS(NS),135.04(129.16),146.99(142.98),114.42(98.71),121.28(112.49),105.31(89.91)
07/01/2023,173.61(181.21),148.45(154.38),150.71(155.39),NS(NS),118.65(126.04),144.85(142.14),113.18(97.19),121.27(112.37),104.35(89.13)
