0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
15/07/2023,208.86(203.7),102.16(89.31),181.96(169.59)
08/07/2023,210.25(211.09),102.78(90.17),182.61(182.83)
01/07/2023,213(220.1),105.02(89.43),181.22(187.7)
24/06/2023,209.88(221.49),105.62(104),177.99(200.24)
17/06/2023,209.44(221.48),104.72(91.28),177.77(185.8)
10/06/2023,204.51(203.58),105.30(94.50),173.17(171.39)
03/06/2023,193.87(188.57),102.27(97.09),160.17(157.71)
27/05/2023,187.44(180.5),107.69(97.14),159.66(150.79)
20/05/2023,183.25(182.09),111.19(98.88),156.88(154.35)
13/05/2023,188.3(184.39),115.1(102.13),164.62(157.91)
06/05/2023,185.34(196.33),118.42(104.44),164.09(166.42)
29/04/2023,190.1(214.24),120.48(106.35),166.27(181.33)
22/04/2023,194.19(238.29),121.26(106.92),170.99(182.63)
15/04/2023,195.26(239.56),120.62(91.96),164.72(162.93)
08/04/2023,203.92(254.50),111.85(102.80),162.48(148.80)
01/04/2023,192.89(152.91),121.31(104.93),143.57(119.77)
25/03/2023,149.16(144.31),125.11(103.93),131.83(109.55)
18/03/2023,NS(NS),124.39(104.57),124.39(104.57)
11/03/2023,138.48(100.59),126.75(108.59),132.46(108.58)
04/03/2023,135.37(129.76),129.18(112.23),130.34(116.71)
25/02/2023,NS(134.13),129.72(114.87),129.72(126.35)
18/02/2023,144.65(134.08),129.41(117.12),137.34(122.70)
11/02/2023,140.13(146.38),133.11(118.36),138.01(136.04)
04/02/2023,139.22(149.44),131.18(118.24),137.28(142.04)
28/01/2023,145.33(142.34),130.76(119.27),141.87(135.88)
21/01/2023,142.93(154.81),127.93(116.80),140.04(146.91)
14/01/2023,149.88(161.84),125.41(114.56),145.60(151.81)
07/01/2023,154.68(165.34),123.74(110.04),148.93(153.96)
