Week Ending/Date,Location,Average_Price
29/12/2018,Kolkata,162.56(154.45)
22/12/2018,Kolkata,167.97(154.59)
15/12/2018,Kolkata,171.66(161.44)
08/12/2018,Kolkata,173.83(166.25)
01/12/2018,Kolkata,170.50(165.46)
24/11/2018,Kolkata,166.78(168.06)
17/11/2018,Kolkata,169.67(169.25)
10/11/2018,Kolkata,177.65(173.52)
27/10/2018,Kolkata,169.82(170.93)
13/10/2018,Kolkata,171.15(168.59)
20/10/2018,Kolkata,NS(170.10)
06/10/2018,Kolkata,170.67(176.15)
29/09/2018,Kolkata,169.82(NS)
22/09/2018,Kolkata,168.57(170.80)
15/09/2018,Kolkata,170.87(165.43)
08/09/2018,Kolkata,168.96(171.23)
01/09/2018,Kolkata,170.78(167.65)
25/08/2018,Kolkata,173.53(176.74)
18/08/2018,Kolkata,181.20(179.36)
11/08/2018,Kolkata,181.60(179.36)
04/04/2018,Kolkata,184.80(172.64)
28/07/2018,Kolkata,186.91(178.67)
21/07/2018,Kolkata,185.11(181.57)
14/07/2018,Kolkata,189.75(177.56)
07/07/2018,Kolkata,197.96(189.36)
30/06/2018,Kolkata,196.80(184.15)
23/06/2018,Kolkata,188.19(179.98)
16/06/2018,Kolkata,182.49(176.75)
09/06/2018,Kolkata,174.75(171.31)
02/06/2018,Kolkata,169.82(159.56)
26/05/2018,Kolkata,171.01(160.02)
19/05/2018,Kolkata,180.60(171.53)
12/05/2018,Kolkata,187.78(172.36)
05/05/2018,Kolkata,186.67(175.16)
28/04/2018,Kolkata,167.10(163.15)
21/04/2018,Kolkata,164.51(159.46)
14/04/2018,Kolkata,123.79(125.10)
07/04/2018,Kolkata,143.14(115.00)
31/03/2018,Kolkata,NS(NS)
24/03/2018,Kolkata,111.02(118.10)
17/03/2018,Kolkata,NS(107.55)
10/03/2018,Kolkata,NS(108.97)
03/03/2018,Kolkata,116.89(110.57)
24/02/2018,Kolkata,116.79(112.03)
17/02/2018,Kolkata,120.71(120.49)
10/02/2018,Kolkata,123.87(127.53)
03/02/2018,Kolkata,131.21(136.06)
27/01/2018,Kolkata,130.46(138.89)
20/01/2018,Kolkata,135.68(144.37)
14/01/2018,Kolkata,141.71(145.34)
07/01/2018,Kolkata,149.26(153.46)
29/12/2018,Guwahati,133.79(137.07)
22/12/2018,Guwahati,137.09(140.05)
15/12/2018,Guwahati,140.90(140.74)
08/12/2018,Guwahati,143.75(140.21)
01/12/2018,Guwahati,147.73(142.71)
24/11/2018,Guwahati,147.42(143.87)
17/11/2018,Guwahati,147.66(142.35)
10/11/2018,Guwahati,152.11(144.61)
27/10/2018,Guwahati,149.99(152.32)
13/10/2018,Guwahati,148.69(153.90)
20/10/2018,Guwahati,NS(149.11)
06/10/2018,Guwahati,148.30(151.47)
29/09/2018,Guwahati,147.24(NS)
22/09/2018,Guwahati,148.95(154.15)
15/09/2018,Guwahati,151.04(149.92)
08/09/2018,Guwahati,154.24(148.41)
01/09/2018,Guwahati,156.89(150.40)
25/08/2018,Guwahati,156.75(153.87)
18/08/2018,Guwahati,158.15(153.62)
11/08/2018,Guwahati,160.76(156.91)
04/04/2018,Guwahati,162.80(157.15)
28/07/2018,Guwahati,164.58(154.10)
21/07/2018,Guwahati,164.19(151.93)
14/07/2018,Guwahati,163.99(151.95)
07/07/2018,Guwahati,161.81(153.24)
30/06/2018,Guwahati,165.32(151.22)
23/06/2018,Guwahati,168.70(157.82)
16/06/2018,Guwahati,161.37(157.68)
09/06/2018,Guwahati,153.80(150.64)
02/06/2018,Guwahati,151.75(140.27)
26/05/2018,Guwahati,143.04(131.51)
19/05/2018,Guwahati,146.64(132.07)
12/05/2018,Guwahati,146.66(139.69)
05/05/2018,Guwahati,155.39(142.32)
28/04/2018,Guwahati,161.55(149.23)
21/04/2018,Guwahati,154.58(158.91)
14/04/2018,Guwahati,155.00(161.71)
07/04/2018,Guwahati,143.14(115.00)
31/03/2018,Guwahati,98.31(106.47)
24/03/2018,Guwahati,NS(NS)
17/03/2018,Guwahati,NS(109.65)
10/03/2018,Guwahati,99.46(104.71)
03/03/2018,Guwahati,99.35(106.29)
24/02/2018,Guwahati,99.89(110.53)
17/02/2018,Guwahati,103.30(106.56)
10/02/2018,Guwahati,104.79(105.66)
03/02/2018,Guwahati,108.48(106.32)
27/01/2018,Guwahati,112.10(111.24)
