0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
28/12/2013,129.03 (133.93),NS (NS),129.03 (133.93)
21/12/2013,127.74 (135.43),83.37 (99.94),115.28 (126.71)
07/12/2013,133.11 (136.85),81.49 (96.05),121.64 (127.13)
30/11/2013,134.36 (138.57),84.97 (95.75),124.26 (128.73)
23/11/2013,133.22 (138.20),85.20 (93.95),121.39 (127.75)
16/11/2013,131.80 (140.70),84.71 (92.26),118.80 (125.57)
09/11/2013,133.07 (133.74),84.99 (90.30),121.92 (123.99)
02/11/2013,131.79 (131.61),89.36 (88.90),124.06 (122.77)
26/10/2013,133.83 (N.S.),90.18 (88.08),125.46 (88.08)
19/10/2013,N.S. (130.82),93.40 (88.84),93.40 (122.44)
12/10/2013,135.10 (131.03),98.99 (88.08),124.25 (122.75)
05/10/2013,133.80 (124.03),100.13 (89.19),126.56 (114.54)
28/09/2013,133.83 (132.88),104.69 (92.08),127.82 (124.96)
21/09/2013,132.44 (135.09),90.64 (94.24),126.85 (126.75)
14/09/2013,132.11 (136.68),104.45 (94.36),127.03 (127.94)
07/09/2013,130.57 (137.02),100.56 (93.33),125.75 (124.93)
31/08/2013,132.51 (137.41),98.19 (89.97),126.23 (130.45)
24/08/2013,133.14 (140.43),96.14 (90.18),126.41 (127.70)
17/08/2013,135.35 (138.65),98.30 (89.44),128.17 (123.77)
10/08/2013,138.27 (142.31),97.10 (88.96),129.31 (128.47)
03/08/2013,138.13(143.20),95.31(87.60),127.83(128.80)
27/07/2013,139.87(143.90),95.14(84.99),128.78(128.51)
20/07/2013,141.49(143.84),95.83(83.58),128.82(127.09)
13/07/2013,144.34(143.55),96.28(82.55),131.60(124.24)
06/07/2013,146.67(147.60),98.54(82.66),132.46(125.30)
29/06/2013,145.39(149.74),99.02(82.93),128.83(125.02)
22/06/2013,142.77(153.83),98.28(85.43),125.70(127.99)
15/06/2013,141.77(158.77),97.41(90.78),125.00(135.78)
08/06/2013,141.90(164.25),99.72(92.77),127.98(137.95)
01/06/2013,141.75(163.64),100.96(93.10),127.80(136.62)
25/05/2013,143.72(163.17),98.83(92.46),125.12(135.78)
18/05/2013,146.91(158.04),96.67(91.75),124.30(130.94)
11/05/2013,143.94(154.22),97.61(86.28),123.46(126.78)
04/05/2013,145.26(152.88),105.15(85.36),128.74(124.76)
27/04/2013,145.62(150.37),109.41(88.40),128.99(119.51)
20/04/2013,147.34(135.97),111.32(87.60),128.45(109.59)
13/04/2013,144.20(145.17),113.24(84.25),129.04(100.13)
06/04/2013,138.99(119.85),116.21(73.43),125.36(86.22)
30/03/2013,N.S.(84.67),109.13(81.93),109.13(83.27)
23/03/2013,133.04(74.01),119.79(80.28),123.75(79.80)
16/03/2013,N.S.(79.96),111.15(78.41),111.15(78.82)
09/03/2013,129.80(84.99),106.82(78.45),116.51(82.18)
02/03/2013,140.62(89.87),101.36(76.54),117.13(85.11)
23/02/2013,129.86(90.48),100.57(74.88),119.39(85.69)
16/02/2013,124.69(93.19),100.68(76.33),117.08(89.00)
09/02/2013,123.01(93.76),100.47(76.18),116.86(89.10)
02/02/2013,121.67(98.11),99.01(75.33),115.14(93.49)
26/01/2013,124.49(99.55),98.95(76.23),116.99(92.07)
19/01/2013,125.96(101.81),99.19(74.82),119.70(94.13)
12/01/2013,128.46(102.80),100.68(73.03),120.83(95.89)
05/01/2013,133.08(105.77),101.26(71.66),124.50(97.38)
