Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
28/12/2013,143.77(145.47),117.81(131.33),123.35(122.91),N.S.(98.99),,NS(NS),NS(NS),NS(NS),NS(NS)
21/12/2013,143.51(145.30),118.65(133.74),120.28(126.51),N.S.(102.06),,98.56(103.74),73.19(97.88),80.38(96.88),76.66(99.46)
07/12/2013,152.31(146.89),124.53(134.98),120.67(127.77),N.S.(103.55),,95.38(101.03),72.31(93.99),81.19(93.35),75.60(91.81)
30/11/2013,153.33(148.97),124.02(133.42),123.10(128.94),N.S.(105.07),,100.54(99.60),74.34(93.50),80.88(93.28),75.05(92.39)
23/11/2013,146.15(151.77),126.04(134.58),126.58(129.38),N.S.(104.67),,103.56(97.39),76.15(92.37),84.36(92.77),80.97(89.49)
16/11/2013,144.73(149.59),130.60(135.22),121.57(126.30),N.S.(100.71),,104.03(96.76),74.35(89.27),82.51(N.S.),77.55(87.91)
09/11/2013,144.78(149.67),131.78(131.32),120.62(122.44),83.27(98.93),,107.97(95.50),71.71(87.61),81.89(89.23),75.77(83.62)
02/11/2013,145.11 (145.61),130.12 (129.20),117.65 (120.08),85.00 (96.52),,109.59 (95.61),73.69 (83.90),N.S.(87.27),75.48 (82.04)
26/10/2013,148.04 (N.S.),132.51 (N.S.),118.36 (N.S.),N.S. (N.S.),,108.72 (95.87),77.29 (83.07),85.07 (87.22),76.88 (84.82)
19/10/2013,N.S. (147.22),N.S. (127.64),N.S. (113.36),N.S. (94.49),,111.16 (96.37),79.37 (84.38),89.75 (86.88),78.49 (84.98)
12/10/2013,148.81 (146.07),137.32 (130.98),115.06 (113.75),N.S. (95.27),,118.35 (97.21),84.45 (83.76),96.28 (86.65),82.92 (82.96)
05/10/2013,148.01 (N.S.),135.37 (133.24),116.82 (113.36),85.65 (97.62),,122.77 (98.20),86.29 (84.46),95.26 (87.92),85.66 (83.31)
28/09/2013,148.10 (144.86),131.59 (135.26),117.97 (112.58),87.74 (96.20),,130.67 (99.31),87.94 (87.22),98.52 (88.49),87.05 (83.94)
21/09/2013,145.77 (146.99),131.85 (136.01),116.66 (117.89),85.89 (100.96),,N.S. (99.18),87.87 (88.77),99.81 (91.44),89.14 (87.24)
14/09/2013,145.36 (149.61),131.07 (136.53),115.76 (119.97),93.50 (106.72),,128.62 (98.84),87.93 (92.12),101.39 (93.07),90.39 (88.13)
07/09/2013,144.05 (147.33),129.22 (139.07),113.90 (121.68),88.22 (105.08),,128.20 (96.05),86.68 (91.72),98.95 (93.24),92.87 (89.27)
31/08/2013,146.59 (148.24),132.48 (138.96),114.78 (122.95),91.33 (107.08),,125.16 (N.S.),86.43 (90.19),95.25 (91.41),88.10 (86.75)
24/08/2013,146.78 (151.27),132.56 (142.04),116.48 (125.24),91.02 (107.66),,121.70 (93.87),84.40 (87.54),92.96 (89.68),84.17 (87.48)
17/08/2013,155.04 (149.78),134.78 (141.10),115.80 (124.41),91.10 (108.69),,123.24 (95.17),84.85 (84.65),92.94 (87.25),84.54 (85.96)
10/08/2013,150.85 (151.48),139.60 (143.23),118.31 (126.34),90.24 (110.28),,123.69 (95.84),84.59 (84.32),94.01 (86.11),86.24 (85.59)
03/08/2013,147.60(152.58),140.94(143.48),121.56(127.63),92.41(107.42),,117.24(97.03),85.20(81.44),92.35(84.78),87.94(83.85)
27/07/2013,150.47(154.80),142.14(142.38),123.97(128.59),94.78(113.15),,116.45(95.79),83.93(78.58),91.76(82.68),91.87(80.22)
20/07/2013,153.68(154.41),144.93(144.16),124.85(129.30),93.70(110.40),,113.79(94.26),85.41(77.23),91.64(80.73),91.78(80.06)
13/07/2013,157.33(157.21),146.8(143.41),126.88(127.43),101.53(110.96),,109.65(93.53),87.99(76.14),92.23(79.5),92.5(80.25)
