0,1,2,3
Week Ending/Date,TOTAL TEA,TOTAL TEA,TOTAL TEA
,NORTH INDIA,SOUTH INDIA,ALL INDIA
31/12/2016,127.22(134.76),99.14(100.33),126.35(130.03)
24/12/2016,139.60(140.84),110.39(81.78),134.61(135.61)
17/12/2016,140.25(142.19),108.13 (93.26),134.58 (133.05)
10/12/2016,140.76(139.91),107.16(91.38),134.44(130.90)
03/12/2016,142.91(143.41),106.36(88.24),135.93(134.07)
26/11/2016,145.47(148.39),105.45(87.43),137.55(136.30)
19/11/2016,144.70(143.69),104.26(83.49),104.26(131.36)
12/11/2016,147.44(159.75),106.05(89.58),138.90(145.15)
05/11/2016,144.96 (142.51),104.18 (81.53),136.03 (131.89)
29/10/2016,143.33 (141.84),108.86 (81.78),139.97 (131.49)
22/10/2016,152.28 (NS),104.29 (81.94),140.72 (81.94)
15/10/2016,NS (142.42),103.96 (84.15),103.96(130.51)
08/10/2016,141.68(142.43),104.60 (81.81),133.55 (129.88)
01/10/2016,144.41(139.54),104.30 (84.14),136.63(128.07)
24/09/2016,144.45 (145.16),105.14 (83.45),136.36 (132.12)
17/09/2016,144.79 (144.81),98.42 (80.43),139.28 (130.38)
10/09/2016,146.32 (147.74),105.18 (76.36),137.86 (133.40)
03/09/2016,147.21 (150.03),102.84 (76.74),138.09 (134.80)
27/08/2016,147.87 (152.36),101.89 (64.29),138.54 (140.35)
20/08/2016,146.97 (154.26),100.17 (78.72),136.93 (138.62)
13/08/2016,149.88 (152.49),97.15 (76.78),137.55 (134.97)
06/08/2016,154.30 (154.72),94.75(73.54),140.01(135.73)
30/07/2016,154.23 (156.64),97.95 (73.85),141.67 (135.10)
23/07/2016,157.50 (158.62),94.30 (74.30),146.36 (136.80)
16/07/2016,162.16 (156.20),95.86 (76.31),148.90 (135.93)
09/07/2016,160.77(151.86),96.87(78.35),147.56(130.60)
02/07/2016,163.51 (152.77),99.04 (78.01),148.52 (130.83)
25/06/2016,163.00 (155.55),103.31 (76.25),147.52 (130.49)
18/06/2016,161.14 (152.86),106.26 (74.48),146.45 (126.73)
11/06/2016,154.78 (149.27),106.97 (73.19),142.10 (121.22)
04/06/2016,149.79 (147.94),104.49 (75.13),136.94 (119.66)
28/05/2016,145.07(150.73),106.80 (74.98),135.08 (119.78)
21/05/2016,144.51(146.39),105.50 (76.18),134.52 (115.92)
14/05/2016,147.11(146.37),106.98 (78.96),136.28 (114.97)
07/05/2016,143.74 (148.33),105.31 (80.51),133.36 (118.13)
30/04/2016,146.07 (145.79),104.21 (82.74),132.93 (113.78)
23/04/2016,151.63 (136.82),103.51 (86.46),135.67 (111.34)
16/04/2016,158.04 (135.97),104.49 (85.90),134.60 (111.09)
09/04/2016,159.10 (127.87),103.41 (85.87),130.18 (105.31)
02/04/2016,133.99 (102.15),103.04 (75.24),113.92 (91.31)
26/03/2016,NS (91.09),90.32 (86.31),90.32 (89.05)
19/03/2016,118.28 (78.45),99.85 (85.56),104.82 (83.68)
12/03/2016,105.38 (88.74),99.29 (84.86),101.12 (87.42)
05/03/2016,102.43 (92.55),102.49 (85.80),102.48 (89.20)
27/02/2016,109.09 (92.01),107.41 (85.87),108.13 (90.24)
20/02/2016,111.95 (100.46),111.51 (86.10),111.76 (96.16)
13/02/2016,111.97 (108.15),112.97 (86.12),112.27 (102.45)
06/02/2016,114.32 (109.53),113.54 (103.39),113.55 (103.39)
30/01/2016,116.67 (118.53),110.14 (85.61),115.21 (110.34)
23/01/2016,121.42 (121.43),105.16 (83.91),118.14 (112.96)
16/01/2016,130.43 (131.87),105.19 (82.78),124.26 (118.38)
09/01/2016,134.35 (127.53),98.37 (79.19),127.19 (117.14)
02/01/2016,134.76 (131.40),100.33 (76.99),130.03 (118.46)
