0,1,2,3
Week Ending/Date,TOTAL TEA,TOTAL TEA,TOTAL TEA
,NORTH INDIA,SOUTH INDIA,ALL INDIA
26/12/2009,114.09 (91.86),72.69 (64.40),108.90 (90.55)
19/12/2009,117.71 (93.14),78.17 (69.26),108.37 (86.86)
12/12/2009,118.33 (93.86),79.22 (66.08),109.73 (86.69)
05/12/2009,120.22 (98.07),80.57 (62.57),111.53 (90.00)
28/11/2009,122.43 (99.31),80.15 (67.73),112.18 (92.59)
21/11/2009,125.09 (98.66),79.36 (72.78),112.34 (92.50)
14/11/2009,125.23 (99.91),80.27 (72.52),118.69 (93.04)
07/11/2009,125.11 (100.75),76.82 (69.26),114.43 (96.69)
31/10/2009,121.10 (100.07),76.90 (78.64),110.19 (94.38)
24/10/2009,123.58 (107.89),80.54 (85.10),114.06 (103.77)
17/10/2009,126.84 (107.45),73.34 (88.05),120.38 (102.95)
10/10/2009,121.91 (N.S),83.34 (86.32),113.04 (86.32)
03/10/2009,NS (106.03),85.22 (86.37),85.22 (101.51)
26/09/2009,119.21 (107.21),84.52 (91.57),110.87 (104.11)
19/09/2009,118.73 (104.73),84.38 (88.81),110.42 (101.60)
12/09/2009,119.84 (100.15),82.16 (75.66),108.25 (96.14)
05/09/2009,121.16 (99.60),74.97 (77.81),110.82 (94.37)
29/08/2009,117.24(99.07),82.51(76.07),108.39(93.90)
22/08/2009,119.45 (99.80),81.07 (76.51),109.12 (94.52)
15/08/2009,117.71 (100.51),81.29 (76.44),109.91 (94.44)
08/08/2009,117.76 (98.69),81.66 (72.51),110.52 (92.02)
01/08/2009,117.21 (98.13),73.21 (70.13),110.97 (90.12)
25/07/2009,115.34 (97.45),85.73 (66.23),108.31 (88.97)
18/07/2009,115.98 (98.87),83.57 (64.82),106.48 (89.21)
11/07/2009,122.42 (98.68),81.52 (64.11),108.62 (87.83)
04/07/2009,126.16 (99.50),81.59 (64.32),111.76 (88.66)
27/06/2009,126.98 (102.28),84.91 (65.16),112.31 (89.90)
20/06/2009,127.80 (99.64),82.32 (63.77),112.77 (87.19)
13/06/2009,127.59 (96.62),83.08 (62.00),110.06 (82.10)
06/06/2009,132.46 (92.72),81.46 (60.37),116.77 (78.44)
30/05/2009,136.69 (92.19),92.00 (58.65),120.64 (78.03)
23/05/2009,137.47 (92.02),88.94 (58.01),122.47 (78.63)
16/05/2009,133.43 (91.47),88.48 (56.67),119.14 (78.45)
09/05/2009,129.37 (90.53),92.93 (56.47),112.15 (77.51)
02/05/2009,122.40 (90.21),88.40 (57.67),106.79 (78.25)
25/04/2009,113.58 (93.45),88.52 (57.92),102.94 (76.12)
18/04/2009,115.41 (95.02),86.34 (56.99),94.14 (66.23)
11/04/2009,106.07 (87.72),78.37 (56.58),87.05 (63.89)
04/04/2009,88.25 (78.98),80.88 (56.83),83.51 (60.32)
28/03/2009,78.90 (63.29),77.84 (57.52),78.36 (58.80)
21/03/2009,77.86 (58.78),77.09 (55.33),77.48 (56.59)
14/03/2009,NO SALE,77.44 (58.32),77.44 (58.32)
07/03/2009,76.48 (66.00),79.89 (57.74),77.63 (63.97)
28/02/2009,77.85 (56.00),76.08 (56.29),77.40 (56.21)
21/02/2009,79.76 (62.09),75.63 (55.60),78.77 (59.15)
14/02/2009,83.03 (64.49),76.19 (54.74),81.62 (60.99)
07/02/2009,86.17 (64.90),75.32 (54.87),83.30 (61.85)
31/01/2009,86.34 (66.24),74.63 (55.59),82.59 (63.78)
24/01/2009,90.02 (68.62),76.54 (54.08),87.37 (65.05)
17/01/2009,88.81 (72.64),74.50 (55.17),85.33 (68.41)
10/01/2009,89.92(74.94),73.85(54.98),86.06(70.69)
03/01/2009,92.82(76.56),73.91(54.76),86.46(72.01)
