Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
26/12/2009,124.46 (101.19),107.30 (87.26),109.37 (84.90),N.S.(N.S.),,No sale,73.74 (N.S.),No sale,70.36 (64.40)
19/12/2009,127.21 (102.69),111.28 (89.04),113.70 (86.30),N.S.(N.S.),,83.43 (76.11),74.45 (65.73),75.28 (68.85),69.36 (59.00)
12/12/2009,127.65 (103.91),111.75 (89.92),114.33 (86.17),N.S.(N.S.),,84.43 (73.64),75.12 (61.87),76.67 (64.28),72.16 (56.50)
05/12/2009,131.09 (107.01),115.02 (94.69),111.19 (85.79),N.S.(N.S.),,84.77 (68.78),77.18 (59.21),77.85 (60.08),75.31 (57.37)
28/11/2009,132.39 (109.99),120.07 (96.88),110.03 (86.99),N.S.(N.S.),,86.79 (76.35),76.86 (60.96),78.92 (61.21),72.92 (59.31)
21/11/2009,137.73 (108.47),119.06 (96.74),114.64 (86.72),N.S.(N.S.),,84.80 (81.30),76.53 (66.08),80.98 (68.17),69.08 (63.78)
14/11/2009,135.48 (108.05),120.16 (98.75),116.15 (89.07),N.S.(N.S.),,82.38 (78.64),0.00 (68.09),76.55 (70.54),0.00 (65.17)
07/11/2009,137.78 (107.74),118.69 (100.19),115.75 (90.18),N.S.(N.S.),,85.03 (0.00),71.34 (69.09),74.20 (70.58),64.45 (65.37)
31/10/2009,138.44 (109.91),119.68 (101.33),109.63 (90.01),N.S.(N.S.),,87.94 (82.30),69.92 (74.88),75.83 (72.64),65.26 (68.22)
24/10/2009,135.47 (115.59),119.67 (106.51),108.25 (96.21),N.S.(N.S.),,91.38 (89.77),73.82 (79.81),77.44 (NS),67.16 (75.94)
17/10/2009,137.93 (114.94),119.78 (107.29),106.18 (98.95),N.S.(N.S.),,N.S (94.33),74.77 (83.46),N.S (84.63),68.14 (79.83)
10/10/2009,135.28 (N.S),117.40 (N.S),109.32 (N.S),N.S.(N.S.),,90.28 (92.87),74.32 (82.53),81.03 (84.91),68.10 (79.08)
03/10/2009,NS (115.09),NS (105.22),NS (97.97),N.S.(N.S.),,91.00 (93.66),76.61 (80.75),80.24 (82.52),78.60 (76.96)
26/09/2009,137.73 (113.53),114.84 (105.63),105.28 (97.14),N.S.(N.S.),,93.30 (101.48),77.59 (84.21),82.24 (88.01),79.87 (82.95)
19/09/2009,131.42 (111.95),114.73 (102.50),101.40 (97.94),N.S.(N.S.),,97.03 (97.23),76.24 (83.63),83.83 (87.11),75.94 (79.72)
12/09/2009,127.62 (107.91),112.67 (98.82),N.S. (91.65),N.S.(N.S.),,96.59 (N.S.),75.65 (75.67),79.04 (80.32),73.88 (71.44)
05/09/2009,129.34 (108.38),112.47 (97.37),No sale,N.S.(N.S.),,No sale,74.29 (72.11),80.59 (75.62),70.36 (68.57)
22/08/2009,131.14 (111.18),114.17 (96.22),101.14 (89.13,N.S.(N.S.),,95.89 (83.49,72.94 (70.95,79.58 (73.42),67.87 (68.96)
15/08/2009,129.29 (111.94),113.59 95.60),102.99 (88.31),N.S.(N.S.),,98.46 (82.30),71.08 (71.69),76.72 (74.86),67.58 (70.51)
08/08/2009,130.36 (109.39),112.18 (93.26),106.04 (87.57),N.S.(N.S.),,98.24 (77.37),69.99 (69.87),74.82 (70.84),68.64 (68.83)
01/08/2009,128.54 (109.56),112.15 (92.43),105.19 (87.63),N.S.(N.S.),,N.S. (74.07),70.21 (67.35),79.77 (69.07),71.04 (65.90)
25/07/2009,129.43 (109.92),107.34 (91.90),102.15 (86.69),N.S.(N.S.),,98.67 (69.20),71.30 (64.11),82.16 (65.73),74.60 (64.08)
18/07/2009,132.42 (116.96),106.59 (91.72),103.72 (84.84),N.S.(N.S.),,91.20 (68.34),74.26 (62.48),83.65 (63.32),82.38 (62.16)
11/07/2009,135.45 (116.47),116.19 (92.94),107.48 (84.06),N.S.(N.S.),,88.80 (67.69),74.08 (61.93),82.07 (62.89),81.10 (61.95)
04/07/2009,135.45 (119.28),124.00 (93.29),110.79 (85.92),N.S.(N.S.),,88.33 (67.94),75.52 (61.77),80.56 (64.07),78.88 (63.01)
27/06/2009,132.85 (118.11),125.70 (94.97),116.34 (89.44),N.S.(N.S.),,90.55 (69.11),78.83 (62.91),82.81 (63.76),77.61 (61.77)
20/06/2009,132.73 (108.56),126.35 (95.88),122.52 (91.30),N.S.(N.S.),,87.01 (66.19),80.48 (62.25),85.73 (62.77),75.81 (61.68)
13/06/2009,132.31 (101.75),125.01 (94.00),122.77 (94.07),N.S.(N.S.),,89.19 (63.89),78.86 (60.89),83.69 (60.73),71.93 (60.28)
06/06/2009,137.00 (95.77),N.S. (89.18),124.09 (92.96),N.S.(N.S.),,N.S. (61.15),82.97 (60.36),84.09 (59.54),69.68 (58.57)
30/05/2009,142.61 (96.77),133.71 (87.23),131.76 (90.84),N.S.(N.S.),,96.21 (59.99),88.82 (58.00),91.15 (57.88),75.26 (56.32)
23/05/2009,144.13 (98.43),133.55 (87.20),136.78 (88.79),N.S.(N.S.),,N. S. (59.58),89.38 (57.09),91.92 (57.62),81.01 (55.51)
16/05/2009,139.18 (98.58),131.00 (87.31),130.00 (88.36),N.S.(N.S.),,N. S. (59.53),89.75 (55.35),89.41 (54.76),81.39 (53.52)
09/05/2009,134.88 (99.25),128.69 (87.46),124.07 (86.07),N.S.(N.S.),,93.36 (59.54),97.04 (55.14),89.69 (55.27),82.08 (52.54)
02/05/2009,125.87 (101.15),122.08 (87.53),118.95 (86.36),N.S.(N.S.),,90.91 (60.71),86.10 (56.27),85.39 (55.69),79.73 (53.50)
25/04/2009,118.01 (103.18),110.15 (90.29),113.56 (89.43),N.S.(N.S.),,91.97 (60.88),86.15 (56.40),84.40 (56.00),79.52 (54.83)
18/04/2009,N.S. (98.18),N.S. (N. S.),115.41 (91.14),N.S.(N.S.),,90.86 (60.45),83.58 (54.42),84.38 (55.46),76.47 (53.48)
11/04/2009,N.S. (87.13),98.98 (83.97),110.53 (90.96),N.S.(N.S.),,N.S. (60.24),79.04 (54.47),81.58 (55.08),73.77 (53.55)
04/04/2009,83.11 (78.54),N.S. (65.63),105.29 (93.21),N.S.(N.S.),,90.28 (60.39),74.70 (54.90),77.62 (54.73),71.61 (52.22)
28/03/2009,N.S. (64.08),74.71 (N.S.),86.52 (60.97),N.S.(N.S.),,86.69 (60.40),71.49 (55.50),74.15 (55.08),68.16 (53.10)
21/03/2009,79.41 (N.S.),N.S. (58.78),73.40 (N.S.),N.S.(N.S.),,84.47 (N.S.),69.25 (55.52),73.20 (55.51),68.68 (54.26)
14/03/2009,No Sale,No Sale,No Sale,N.S.(N.S.),,87.09 (61.80),70.35 (56.05),65.26 (56.73),68.04 (53.34)
07/03/2009,80.34 (66.15),71.10 (N.S.),71.73 (60.76),N.S.(N.S.),,84.24 (60.68),82.48 (56.07),73.67 (55.96),69.06 (52.42)
28/02/2009,81.40 (N.S.),74.37 (55.48),71.29 (57.02),N.S.(N.S.),,84.21 (59.83),70.01 (54.02),71.90 (54.09),68.95 (51.00)
21/02/2009,84.96 (66.64),75.21 (59.28),75.10 (58.15),N.S.(N.S.),,84.25 (59.95),70.10 (52.82),70.82 (53.91),66.39 (50.00)
14/02/2009,88.44 (68.38),79.94 (62.35),78.25 (61.27),N.S.(N.S.),,84.57 (59.89),70.14 (51.84),71.24 (53.55),65.14 (49.76)
07/02/2009,89.04 (70.72),83.21 (63.30),N.S. (59.63),N.S.(N.S.),,83.79 (59.26),67.66 (52.31),72.27 (52.76),67.40 (50.02)
31/01/2009,91.38 (71.11),N.S. (64.97),79.27 (62.09),N.S.(N.S.),,79.94 (58.95),69.64 (53.22),72.19 (52.42),69.39 (50.28)
24/01/2009,94.11 (74.09),85.69 (65.20),N.S. (65.57),N.S.(N.S.),,79.90 (57.13),N.S. (53.42),71.17 (51.83),69.14 (48.50)
17/01/2009,95.94 (76.84 ),87.63 (71.04),80.58 (67.16),N.S.(N.S.),,81.13 (59.08),69.64 (52.58),71.16 (53.36),69.51 (48.04)
10/01/2009,97.55(79.82),87.46(73.97),82.72(68.17),N.S.(N.S.),,82.25(59.47),67.26(52.36),69.84(53.63),67.39(46.84)
03/01/2009,98.17(80.82),N.S.(76.15),84.02(70.07),N.S.(N.S.),,79.70(57.91),68.94(51.69),70.40(54.04),65.55(46.75)
