0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
26/12/2009,112.65 (91.94),72.30 (64.40),107.49 (90.54)
19/12/2009,115.61 (93.05),76.88 (69.49),106.81 (86.83)
12/12/2009,116.36 (93.54),77.46 (66.30),107.98 (86.51)
05/12/2009,117.89 (97.66),79.34 (62.57),109.46 (89.80)
28/11/2009,119.64 (98.49),78.61 (68.34),109.87 (92.35)
21/11/2009,122.41 (97.82),76.95 (73.30),110.13 (92.10)
14/11/2009,122.28 (99.18),77.53 (72.95),116.03 (92.65)
07/11/2009,121.37 (100.13),73.44 (69.31),110.97 (95.98)
31/10/2009,119.12 (99.15),73.50 (79.20),108.40 (94.08)
24/10/2009,120.57 (106.57),77.44 (84.78),110.81 (102.69)
17/10/2009,122.05 (106.50),72.43 (87.23),115.61 (102.06)
10/10/2009,119.19 (N.S),79.08 (85.03),110.32 (85.03)
03/10/2009,NS (104.43),81.86 (84.50),81.86 (99.96)
26/09/2009,115.61 (105.07),82.34 (89.86),107.58 (102.06)
19/09/2009,115.00 (102.90),82.03 (87.43),106.95 (99.85)
12/09/2009,116.34 (97.99),79.83 (75.35),104.95 (94.05)
05/09/2009,116.80 (96.59),74.10 (76.62),106.52 (91.67)
29/08/2009,114.09(95.42),79.83(74.36),105.53(90.69)
22/08/2009,116.13 (95.84),78.88 (74.96),106.08 (91.14)
15/08/2009,114.76 (95.28),79.57 (75.65),107.15 (90.15)
08/08/2009,114.20 (93.71),79.76 (71.81),107.14 (88.02)
01/08/2009,113.46 (92.68),71.81 (69.47),107.33 (85.75)
25/07/2009,110.97 (92.38),82.20 (65.44),104.27 (85.06)
18/07/2009,111.84 (91.82),81.11 (63.86),102.80 (83.78)
11/07/2009,117.95 (92.39),79.45 (63.02),104.66 (83.09)
04/07/2009,122.99 (92.94),79.56 (63.26),108.91 (83.64)
27/06/2009,125.26 (95.49),82.26 (64.14),110.74 (84.59)
20/06/2009,126.83 (96.31),81.00 (62.76),111.84 (84.35)
13/06/2009,126.59 (94.40),81.17 (60.78),109.06 (80.17)
06/06/2009,130.56 (90.91),80.34 (59.41),114.45 (76.92)
30/05/2009,135.44 (89.52),89.07 (58.05),119.86 (76.03)
23/05/2009,136.10 (89.30),88.00 (57.29),121.19 (76.46)
16/05/2009,132.34 (89.08),88.09 (55.63),117.59 (76.46)
09/05/2009,128.72 (88.31),90.96 (55.63),110.92 (75.55)
02/05/2009,122.29 (88.47),85.72 (56.81),105.70 (76.88)
25/04/2009,113.29 (91.50),86.80 (57.08),102.06 (74.59)
18/04/2009,115.41 (92.98),85.33 (56.02),93.70 (64.74)
11/04/2009,106.07(87.85),77.79(55.77),86.84(63.30)
04/04/2009,87.09 (79.57),80.15 (55.42),82.60 (59.25)
28/03/2009,78.90 (63.50),76.71 (56.03),77.81 (57.66)
21/03/2009,75.87 (58.96),75.95 (55.21),75.91 (56.59)
14/03/2009,NO SALE,76.39 (57.26),76.39 (57.26)
07/03/2009,75.94 (65.91),79.00 (56.59),76.96 (63.72)
28/02/2009,76.84 (56.12),74.93 (55.33),76.36 (55.57)
21/02/2009,79.37 (61.57),74.81 (54.71),78.29 (58.52)
14/02/2009,82.66 (64.18),75.55 (53.73),81.21 (60.51)
07/02/2009,86.10 (64.51),74.91 (53.90),83.21 (61.35)
31/01/2009,86.16 (65.82),74.66 (54.63),82.61 (63.34)
24/01/2009,89.88 (68.19),76.95 (52.96),87.41 (64.19)
17/01/2009,88.56 (72.22),74.77 (54.15),85.28 (68.00)
10/01/2009,89.64(74.22),74.10(54.10),85.94(69.98)
03/01/2009,92.75(75.95),74.42(54.40),86.55(71.63)
