Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
26/12/2009,122.39 (103.39),107.25 (87.25),109.37 (84.90),N.S.(N.S.),,No sale,73.24 (N.S.),No sale,70.36 (64.40)
19/12/2009,122.95 (104.46),111.26 (89.05),113.70 (86.30),N.S.(N.S.),,81.73 (77.65),74.04 (65.74),74.41 (69.01),69.36 (59.00)
12/12/2009,123.65 (105.00),111.72 (89.91),114.33 (86.17),N.S.(N.S.),,81.48 (75.13),74.69 (61.88),76.11 (64.50),72.16 (56.50)
05/12/2009,126.73 (108.20),114.98 (94.72),111.19 (85.79),N.S.(N.S.),,82.72 (70.67),76.90 (59.19),77.44 (60.17),75.31 (57.37)
28/11/2009,126.24 (109.96),120.06 (96.85),110.03 (86.99),N.S.(N.S.),,84.40 (79.50),76.51 (60.97),77.67 (61.46),72.92 (59.31)
21/11/2009,132.46 (108.40),118.99 (96.76),114.64 (86.72),N.S.(N.S.),,80.23 (83.90),76.24 (66.11),79.41 (68.63),69.08 (66.78)
14/11/2009,129.38 (109.03),120.09 (98.77),116.15 (89.07),N.S.(N.S.),,78.86 (81.31),0.00 (68.07),75.37 (71.00),0.00 (65.17)
07/11/2009,129.75 (107.71),118.65 (100.19),115.75 (90.18),N.S.(N.S.),,79.27 (0.00),70.38 (69.12),73.22 (70.73),64.45 (65.37)
31/10/2009,132.56 (109.46),119.64 (101.34),109.63 (90.01),N.S.(N.S.),,82.58(83.95),68.75 (74.88),72.78 (72.75),65.26 (68.22)
24/10/2009,128.85 (114.23),119.67 (106.50),108.25 (96.21),N.S.(N.S.),,86.17 (90.24),72.49 (79.69),75.68 (NS),67.16 (75.94)
17/10/2009,130.14 (113.59),119.69 (107.29),106.18 (98.95),N.S.(N.S.),,N.S (93.65),73.67 (83.14),N.S (84.21),68.14 (79.83)
10/10/2009,129.80((N.S),117.34 ((N.S),109.32 (N.S),N.S.(N.S.),,84.32 (91.01),73.48 (82.26),77.27 (84.37),68.10 (79.08)
03/10/2009,N.S (111.43),N.S (105.19),N.S (97.97),N.S.(N.S.),,86.50 (90.63),75.59 (80.32),77.85 (82.36),78.6(76.96)
26/09/2009,129.70 (109.64),114.83 (105.57),105.28 (97.14),N.S.(N.S.),,89.65 (99.95),76.85 (83.73),80.74 (87.14),79.87 (82.95)
19/09/2009,124.18 (108.36),114.69 (102.49),101.40 (97.94),N.S.(N.S.),,93.79 (95.39),75.45 (83.36),80.50 (86.45),75.53 (79.72)
12/09/2009,121.40 (103.26),112.62 (98.78),No sale,N.S.(N.S.),,92.81 (N.S),74.93 (75.47),75.67 (79.64),73.85 (71.44)
05/09/2009,122.13 (102.05),112.43 (97.33),No sale,N.S.(N.S.),,No sale,73.75 (71.96),78.51 (75.18),70.36 (68.57)
29/08/2009,123.21 (100.87 ),114.19 (95.96),101.70 (88.54),N.S.(N.S.),,93.72 (81.37),72.21 (70.36),77.25 (71.79),69.39 (67.90)
22/08/2009,126.20 (102.00),114.15 (96.18),101.14 (89.13),N.S.(N.S.),,94.20 (81.64),72.27 (70.75),76.49 (73.02),67.87 (68.96)
15/08/2009,123.83 (100.64),113.56 (95.55),102.99 (88.31),N.S.(N.S.),,96.50 (81.39),70.51 (71.62),75.35 (74.72),67.58 (70.51)
08/08/2009,122.81 (98.50),112.15 (93.18),106.04 (87.57),N.S.(N.S.),,95.46 (76.23),69.52 (69.80),74.30 (70.66),68.64 (68.83)
01/08/2009,120.93 (97.27),112.08 (92.36),105.19 (87.63),N.S.(N.S.),,N.S. (72.88),69.64 (67.21),76.80 (68.90),71.04 (65.90)
25/07/2009,120.67 (97.86),107.28 (91.84),102.15 (86.69),N.S.(N.S.),,94.40 (67.50),70.54 (63.98),78.85 (65.86),74.15 (64.08)
18/07/2009,124.59 (99.42),106.58 (91.65),103.72 (84.84),N.S.(N.S.),,87.75 (66.50),73.24 (62.36),80.91 (63.07),81.93 (62.16)
11/07/2009,127.35 (100.11),116.15 (92.86),107.48 (84.06),N.S.(N.S.),,85.36 (65.30),73.27 (61.74),80.32 (62.67),80.81 (61.95)
04/07/2009,128.69 (101.61),124.03 (93.22),110.79 (85.92),N.S.(N.S.),,85.16 (65.57),74.69 (61.45),78.76 (63.73),78.81 (63.01)
27/06/2009,130.26 (102.25),125.71 (94.94),116.34 (89.44),N.S.(N.S.),,86.83 (67.19),78.17 (62.68),79.99 (63.39),77.23 (61.77)
20/06/2009,130.70 (101.00),126.37 (95.82),122.52 (91.30),N.S.(N.S.),,84.91 (64.21),79.89 (61.96),83.93 (62.23),75.66 (61.68)
13/06/2009,130.55 (95.50),125.04 (93.95),122.77 (94.07),N.S.(N.S.),,86.70 (61.35),78.10 (60.62),82.01 (60.20),71.83 (60.28)
06/06/2009,134.80 (91.69),N.S. (89.09),124.09 (92.96),N.S.(N.S.),,N.S. (58.87),82.17 (60.23),82.41 (59.40),69.68 (58.57)
30/05/2009,140.00 (91.23),133.75 (87.17),131.76 (90.84),N.S.(N.S.),,92.08 (58.76),87.92 (57.93),89.46 (57.73),75.26 (56.32)
23/05/2009,139.96 (92.47),133.55 (87.21),136.78 (88.79),N.S.(N.S.),,N. S. (58.03),88.66 (57.02),90.34 (57.36),81.01 (55.51)
16/05/2009,137.33 (92.56),131.05 (87.31),130.00 (88.36),N.S.(N.S.),,N. S. (57.46),89.12 (55.15),89.45 (54.30),81.39 (53.52)
09/05/2009,133.97 (93.09),128.70 (87.51),124.07 (86.07),N.S.(N.S.),,90.76 (57.61),95.60 (55.11),87.86 (54.89),82.08 (52.54)
02/05/2009,126.49 (95.14),122.25 (87.51),118.95 (86.36),N.S.(N.S.),,87.37 (59.05),85.14 (56.17),83.31 (55.35),79.73 (53.50)
25/04/2009,117.93 (97.53),110.18 (90.29),113.56 (89.43),N.S.(N.S.),,89.54 (59.31),85.55 (56.17),83.19 (55.60),79.52 (54.83)
18/04/2009,N.S. (94.81),N.S. (N. S.),115.41 (91.14),N.S.(N.S.),,89.55 (58.68),82.96 (54.24),83.53 (55.14),76.47 (53.48)
11/04/2009,N.S. (87.47),98.98 (83.97),110.53 (90.96),N.S.(N.S.),,N.S. (58.60),78.37 (54.25),80.77 (54.83),73.77 (53.55)
04/04/2009,81.02 (79.95),N.S. (65.64),105.29 (93.21),N.S.(N.S.),,88.83 (57.54),74.26 (54.63),78.55 (54.46),71.61 (52.22)
28/03/2009,N.S. (64.79),74.71 (N.S.),86.52 (60.97),N.S.(N.S.),,85.09 (57.79),71.05 (55.17),73.39 (54.73),68.16 (53.10)
21/03/2009,76.82 (N.S.),N.S. (58.96),73.40 (N.S.),N.S.(N.S.),,82.96 (N.S.),68.76 (55.22),72.54 (55.64),68.68 (54.26)
14/03/2009,No Sale,No Sale,No Sale,N.S.(N.S.),,85.84 (59.85),69.92 (55.92),64.13 (56.33),68.04 (53.34)
07/03/2009,79.54 (66.06),71.10 (N.S.),71.73 (60.76),N.S.(N.S.),,82.81 (58.58),82.05 (56.00),73.10 (55.53),69.06 (52.42)
28/02/2009,79.92(N.S.),74.41 (55.65),71.29 (57.02),N.S.(N.S.),,82.62 (58.14),69.47 (53.99),71.27 (53.80),68.95 (51.00)
21/02/2009,84.39 (65.69),75.27 (59.39),78.25 (61.27),N.S.(N.S.),,75.10 (58.15),82.90 (58.53),69.85 (52.69),66.39 (50.00)
14/02/2009,87.95 (67.81),79.98 (62.50),78.25 (61.27),N.S.(N.S.),,83.92 (57.66),69.93 (51.80),70.90 (53.47),65.14 (49.76)
07/02/2009,88.99 (70.40),83.24 (63.28),N.S. (59.63),N.S.(N.S.),,83.76 (57.32),67.50 (52.28),72.22 (52.60),67.40 (50.02)
31/01/2009,91.45(70.39),N.S.(64.99),79.27(62.09),N.S.(N.S.),,80.76(57.06),69.65(53.38),72.30(52.50),69.39(50.33)
24/01/2009,94.14(73.38),85.69(65.66),N.S.(65.57),N.S.(N.S.),,80.87(54.59),N.S.(53.43),71.12(52.07),69.14(48.50)
17/01/2009,95.95(71.01),87.66(71.01),80.58(67.16),N.S.(N.S.),,82.25(57.49),69.64(52.48),71.66(53.18),69.51(48.04)
10/01/2009,97.74(78.73),87.48(73.97),82.72(68.17),N.S.(N.S.),,83.31(58.02),67.24(52.23),70.47(53.39),67.39(46.84)
03/01/2009,99.01(79.79),N.S.(76.19),84.02(70.07),N.S.(N.S.),,81.66(57.83),68.94(51.67),70.74(53.88),65.55(46.75)
