Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
26/12/2020,192.39(159.24),161.05(134.74),164.48(135.64),NS(NS),128.08,170.80(119.12),114.37(NS),130.17(NS),99.16 (67.76)
19/12/2020,188.48(163.07),157.83(139.32),160.59(135.58),NS(NS),Not Available,172.37(119.46),112.17(82.34),129.34(94.20),99.10(65.03)
12/12/2020,189.03(162.89),166.13(NS),157.84(136.37),NS(NS),140.03,173.52(119.78),108.12(80.51),136.73(92.13),98.32(66.11)
05/12/2020,194.39(165.35),164.13(141.11),158.00(139.57),NS(NS),111.00,183.01(119.76),109.25(79.04),136.33(92.94),133.38(65.66)
28/11/2020,199.99(166.80),169.10(138.78),156.82(136.81),NS(NS),162.33,193.31(119.25),130.09(78.81),157.49(94.90),128.13(67.62)
21/11/2020,205.67(169.58),176.59(142.91),162.12(137.61),NS(NS),161.82,193.61(117.75),141.71(79.97),156.81(95.14),136.26(69.05)
14/11/2020,222.00(163.94),186.64(145.15),174.94(135.89),NS(NS),180.10,192.82(118.50),NS(79.39),NS(93.03),137.67(68.85)
07/11/2020,228.66(166.87),191.78(147.83),194.98(132.30),NS(NS),NS,192.09(117.68),149.47(78.17),157.63(95.75),136.57(68.44)
31/10/2020,NS(175.49),205.16(144.75),NS(134.11),NS(NS),208.89,185.42(118.85),151.36(78.68),158.41(NS),133.75(69.18)
24/10/2020,242.12(175.30 ),214.55(150.27),208.57(136.59),NS(NS),205.78,179.74(120.98),150.11(80.70),155.05(96.33),132.77(73.50)
17/10/2020,251.78(170.26),227.08(150.78),211.91(132.71),NS(NS),220.53,177.34(121.17),145.26(84.96),154.23(95.51),121.42(72.40)
10/10/2020,265.33(NS),239.35(NS),224.61(135.91),NS(NS),247.17,172.84(121.72),146.53(85.99),153.69(94.98),133.94(73.55)
03/10/2020,271.71(179.31),257.21(153.97),239.57(NS),NS(NS),254.80,176.53(122.32),156.28(87.44),165.41(97.02),144.25(73.13)
26/09/2020,277.78(174.34),264.36(150.62),247.18(129.10),NS(NS),251.80,190.93(119.38),170.62(87.74),178.70(94.32),165.36(72.72)
19/09/2020,281.87(179.93),274.38(150.14),251.40(132.41),NS(NS),229.86,197.51(114.62),185.15(86.31),190.71(94.52),181.35(71.73)
12/09/2020,NS(180.39),280.73(150.11),253.80(132.25),NS(NS),263.75,198.79(NS),192.35(85.82),191.25(90.76),179.85(69.73)
05/09/2020,291.04(186.91),288.54(156.33),255.01(132.98),NS(NS),275.17,NS(110.55),193.21(83.81),189.56(93.16),174.35(68.80)
29/08/2020,300.10(181.49),297.03(155.92),248.69(132.28),NS(NS),272.60,181.00(112.03),187.04(83.33),175.86(90.09),160.63(68.20)
22/08/2020,307.42(189.25),295.12(157.20),245.22(130.67),NS(NS),235.64,171.64(111.02),172.62(83.11),163.52(91.59),151.82(68.30)
15/08/2020,308.75(193.24),296.85(157.18),246.81(134.35),NS(NS),258.72,159.25(112.01),167.69(81.42),157.62(91.35),143.75(68.70)
08/08/2020,307.12(199.96),287.86(161.93),251.87(138.75),NS(NS),259.00,144.53(112.94),150.07(80.78),148.31(91.31),139.04(71.80)
01/08/2020,295.89(200.75),278.31(161.43),246.18(142.21),NS(NS),235.83,138.11(113.10),146.38(80.29),142.92(92.00),129.19(73.56)
25/07/2020,297.63(200.66),NS(164.66),241.01(142.23),NS(NS),244.98,138.40(115.12),141.19(80.40),141.08(87.70),122.95(71.00)
18/07/2020,301.04(200.78),283.53(162.09),236.66(143.69),NS(NS),296.47,134.47(112.40),137.11(78.90),135.28(89.94),111.41(69.40)
11/07/2020,298.71(193.91),NS(158.33),231.40(143.46),NS(NS),249.28,130.22(113.46),128.26(79.10),127.99(90.69),105.30(69.48)
04/07/2020,298.54(203.14),273.53(158.98),228.76(144.58),NS(NS),0.00,122.26(116.48),116.60(84.97),115.79(97.99),97.17(73.59)
27/06/2020,272.59(204.32),265.12(156.96),226.24(144.36),NS(NS),247.19,117.03(117.25),113.55(87.32),112.44(97.06),88.65(79.63)
20/06/2020,275.63(204.49),253.01(163.02),219.99(150.56),NS(NS),255.77,112.90(120.55),110.68(92.25),108.24(99.11),87.90(81.34)
13/06/2020,250.54(187.49),231.18(155.00),207.24(149.43),NS(NS),252.47,111.30(123.12),107.01(93.00),102.97(102.44),80.08(83.07)
06/06/2020,235.11(180.12),216.35(147.98),202.48(147.83),NS(NS),240.74,109.20(126.83),98.94(93.43),104.14(105.51),78.37(84.63)
30/05/2020,NS(178.76),198.29(139.17),180.23(149.70),NS(NS),,110.04(128.23),95.92(93.91),103.84(109.84),75.30(86.60)
23/05/2020,NS(179.26),199.08(135.23),195.66(147.25),NS(NS),,"114,82(127.76)",93.93(95.32),104.53(108.91),74.57(87.72)
16/05/2020,135.40(180.26),222.01(135.12),188.64(148.81),NS(NS),,116.41(127.60),94.21(97.50),105.11(111.08),74.60(90.96)
09/05/2020,NS(194.09),150.50(135.48),209.05(149.81),NS(NS),,122.03(127.82),94.84(99.19),NS(109.24),77.05(89.81)
02/05/2020,NS(202.32),217.56(143.43),206.25(148.19),NS(NS),,125.94(129.73),97.55(99.19),NS(110.41),77.27(90.30)
25/04/2020,NS(188.95),111.34(152.29),129.50(148.19),NS(NS),,122.94(129.13),92.09(100.77),105.94(108.18),79.29(90.31)
18/04/2020,NS(175.25),NS(167.26),NS(154.94),NS(NS),,130.27(NS),NS(99.97),NS(111.36),NS(88.79)
11/04/2020,NS(161.15),NS(171.04),NS(159.46),NS(NS),,121.58(128.38),NS(100.46),NS(109.66),NS(90.70)
04/04/2020,NS(126.10),NS(176.47),NS(152.77),NS(NS),,NS(127.54),NS(101.02),NS(108.17),NS(91.85)
21/03/2020,104.29(116.78),82.62(113.16),NS(NS),NS (NS),,114.00(128.18),82.32(101.65),90.06(107.92),58.29(92.51)
14/03/2020,90.82(107.51),NS(NS),NS(NS),NS(NS),,113.86(127.64),80.37(102.75),95.57(108.17),59.99(93.44)
