0,1,2,3
Week Ending/Date,TOTAL TEA,TOTAL TEA,TOTAL TEA
,NORTH INDIA,SOUTH INDIA,ALL INDIA
25/12/2021,179.43(172.48),110.41(134.02),166.93(165.32)
18/12/2021,183.21(169.07),109.75(132.36),170.75(162.53)
11/12/2021,188.26(171.63),109.84(129.52),176.17(163.54)
04/12/2021,189.31(172.56),106.83(130.66),174.59(165.37)
27/11/2021,193.04(176.26),106.25(162.05),179.60(174.54)
20/11/2021,195.06(182.98),105.57(165.14),181.40(180.39)
13/11/2021,192.90(197.74),100.36(187.61),177.97(196.97)
06/11/2021,199.28(203.93),102.04(163.14),178.64(196.13)
30/10/2021,187.76(205.16),98.71(159.57),171.37(186.39)
23/10/2021,191.36(220.85),96.29(154.79),174.57(205.66)
16/10/2021,149.51(231.45),96.75(149.41),96.79(209.53)
09/10/2021,186.27(245.67),98.20(151.80),170.47(221.55)
02/10/2021,189.61(258.13),102.10(161.30),176.41(236.36)
25/09/2021,189.92(264.12),103.55(177.09),175.04(247.54)
18/09/2021,187.56(269.45),104.62(188.96),170.77(254.67)
11/09/2021,189.20(267.83),99.79(192.74),172.75(247.34)
04/09/2021,188.16(277.84),102.26(190.88),172.99(262.91)
28/08/2021,188.19(282.56),101.73(181.85),171.25(262.29)
21/08/2021,189.82(284.98),92.48(169.12),176.86(262.22)
14/08/2021,188.89(283.21),100.14(163.06),170.36(254.64)
07/08/2021,193.33(282.83),102.21(147.20),176.63(253.63)
31/07/2021,195.14(274.65),102.28(142.57),174.76(244.56)
24/07/2021,198.68(265.82),101.15(138.99),175.83(220.03)
17/07/2021,202.75(270.25),102.39(132.91),178.50(232.61)
10/07/2021,206.57(254.01),101.51(126.35),180.08(200.89)
03/07/2021,222.73(261.91),107.56(117.05),191.43(219.07)
26/06/2021,226.13(253.75),106.57(111.81),185.75(209.93)
19/06/2021,228.75(246.56),110.46(109.20),185.41(195.72)
12/06/2021,230.13(227.08),120.16(104.96),199.95(176.36)
05/06/2021,227.73(218.97),124.65(101.64),192.54(175.01)
29/05/2021,216.44(189.60),142.51(100.99),196.49(149.33)
22/05/2021,220.22(198.21),136.50(99.35),190.04(151.28)
15/05/2021,214.36(121.22),131.67(101.10),177.79(155.76)
08/05/2021,211.48(188.02),126.25(102.94),180.81(130.96)
05/05/2021,211.48(188.02),126.25(102.94),180.81(130.96)
01/05/2021,205.82(206.03),122.20(97.44),173.08(126.48)
24/04/2021,209.66(121.22),124.34(104.65),179.76(110.53)
17/04/2021,215.02(NS),125.86(130.27),173.62(130.27)
10/04/2021,214.13(NS),130.63(121.58),175.82(121.58)
03/04/2021,157.33(NS),121.85(NS),130.08(NS)
27/03/2021,158.98(NS),143.37(NS),149.06(NS)
20/03/2021,NS(89.46),142.51(90.88),142.51(90.16)
13/03/2021,146.55(90.82),141.61(92.98),144.19(92.34)
06/03/2021,147.73(91.31),139.13(94.38),143.07(92.18)
27/02/2021,157.96(96.48),145.16(89.29),152.87(94.35)
20/02/2021,158.86(96.39),147.02(94.28),155.11(95.98)
13/02/2021,158.57(100.20),147.66(95.72),155.71(99.44)
06/02/2021,160.50(106.75),145.07(94.78),157.17(104.64)
30/01/2021,165.72(113.21),149.60(96.34),162.63(110.13)
23/01/2021,171.17(118.94),148.17(97.50),166.93(115.19)
16/01/2021,174.71(124.79),149.09(97.59),169.50(120.01)
09/01/2021,175.29(132.20),147.05(97.73),169.99(125.63)
02/01/2021,177.42(138.68),108.74(87.06),176.19(132.36)
