Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
25/12/2021,195.83(192.39),167.79(161.05),172.21(164.48),NS(NS),158.49(128.08),138.78(170.80),94.75(114.37),111.01(130.17),86.98(99.16)
18/12/2021,194.32(188.48),173.40(157.83),178.90(160.59),NS(NS),160.55(126.37),133.93(172.37),94.79(112.17),106.72(129.34),86.83(99.10)
11/12/2021,205.41(189.03),178.38(166.13),179.26(157.84),NS(NS),143.40(140.03),129.34(173.52),98.29(108.12),106.23(136.73),86.95(98.32)
04/12/2021,209.99(194.39),180.89(164.13),169.49(158.00),NS(NS),136.55(111.00),129.40(183.01),98.15(109.25),99.51(136.33),83.77(133.38)
27/11/2021,223.21(199.99),182.19(169.10),170.54(156.82),NS(NS),148.79(162.33),130.64(193.31),96.73(130.09),100.71(157.49),81.61(128.13)
20/11/2021,221.53(205.67),183.41(176.59),180.46(162.12),NS(NS),131.28(161.82),130.71(193.61),92.81(141.71),98.44(156.81),78.55(136.26)
13/11/2021,209.18(222.00),184.73(186.64),186.85(174.94),NS(NS),138.88(180.10),128.28(192.82),90.32(NS),93.10(NS),76.70(137.67)
06/11/2021,212.39(228.66),185.91(191.78),190.14(194.98),NS(NS),145.62(NS),128.36(192.09),88.77(149.47),NS(157.63),74.23(136.57)
30/10/2021,207.96(NS),177.68(205.16),176.53(NS),NS(NS),140.03(208.89),130.81(185.42),86.76(151.36),91.58(158.41),71.75(133.75)
23/10/2021,217.22(242.12),175.53(214.55),175.62(208.57),NS(NS),NS(205.78),128.55(179.74),84.09(150.11),92.03(155.05),76.66(132.77)
16/10/2021,NS(251.78),NS(227.08),NS(211.91),NS(NS),149.51(220.53),124.14(177.34),86.09(145.26),90.17(154.23),76.53(121.42)
09/10/2021,217.03(265.33),173.90(239.35),153.22(224.61),NS(NS),147.83(247.17),124.43(172.84),87.61(146.53),90.39(153.69),78.22(133.94)
02/10/2021,220.10(271.71),178.72(257.21),161.56(239.57),NS(NS),116.82(254.80),126.37(176.53),90.12(156.28),95.79(165.41),81.69(144.25)
25/09/2021,223.11(277.78),177.37(264.36),161.88(247.18),NS(NS),142.91(251.80),126.38(190.93),92.45(170.62),96.17(178.70),79.51(165.36)
18/09/2021,216.13(281.87),179.12(274.38),164.62(251.40),NS(NS),152.84(229.86),126.95(197.51),94.06(185.15),96.36(190.71),78.95(181.35)
11/09/2021,218.92(NS),176.46(280.73),168.68(253.80),NS(NS),147.89(263.75),123.30(198.79),93.79(192.35),97.80(191.25),78.80(179.85)
04/09/2021,220.59(291.04),173.38(288.54),169.57(255.01),NS(NS),143.74(275.17),127.86(NS),94.93(193.21),98.57(189.56),75.35(174.35)
28/08/2021,219.09(300.10),171.89(297.03),173.78(248.69),NS(NS),135.57(272.60),128.27(181.00),92.99(187.04),102.11(175.86),74.54(160.63)
21/08/2021,227.99(307.42),174.17(295.12),169.84(245.22),NS(NS),148.44(235.64),NS(171.64),91.57(172.62),102.54(163.52),79.21(151.82)
14/08/2021,220.66(308.75),174.60(296.88),169.29(246.81),NS(NS),169.29(246.81),124.71(159.25),90.36(167.69),102.23(157.62),76.95(143.75)
07/08/2021,221.64(307.12),176.55(287.86),178.66(251.87),NS(NS),145.00(259.00),124.67(144.53),90.43(150.07),101.09(148.31),79.64(139.04)
31/07/2021,224.17(295.89),181.72(278.31),177.25(246.18),NS(NS),193.62(235.83),124.42(138.11),92.96(146.38),102.32(142.92),80.47(129.19)
24/07/2021,228.85(297.63),184.85(NS),185.05(241.01),NS(NS),152.80(244.98),123.88(138.40),91.60(141.19),103.82(141.08),80.84(122.95)
17/07/2021,237.55(301.04),196.28(283.53),181.51(236.66),NS(NS),174.92(296.47),124.65(134.47),92.05(137.11),103.16(135.28),81.74(111.41)
10/07/2021,242.19(298.71),207.64(NS),181.19(231.40),NS(NS),178.29(249.28),126.34(130.22),93.81(128.26),110.32(127.99),78.88(105.30)
03/07/2021,261.60(298.54),227.35(273.53),192.22(228.76),NS(NS),206.35(NS),131.30(122.26),95.88(116.60),111.64(115.79),87.11(97.17)
26/06/2021,255.38(272.59),232.34(265.12),203.59(226.24),NS(NS),241.99(247.19),132.10(117.03),95.70(113.55),112.37(112.44),NS(88.65)
19/06/2021,251.80(275.63),235.06(253.01),214.41(219.99),NS(NS),200.31(255.77),131.70(112.90),98.75(110.68),112.06(108.24),108.31 (87.90)
12/06/2021,235.30(250.54),234.03(231.18),221.68(207.24),NS(NS),216.31(252.47),135.86(111.30),111.86(107.01),117.11(102.97),103.24(80.08)
05/06/2021,240.96(235.11),226.91(216.35),217.32(202.48),NS(NS),205.50(240.74),141.77(109.20),117.03(98.94),124.56(104.14),104.91(78.37)
29/05/2021,NS(NS),223.36(198.29),211.23(180.23),NS(NS),203.38,144.45(110.04),NS(95.92),NS(103.84),102.81(75.30)
22/05/2021,235.47(NS),218.16(199.08),207.44(195.66),NS(NS),187.59,156.25(114.82),122.79(93.93),132.80(104.53),107.32(74.57)
15/05/2021,228.46(135.40),211.75(222.01),203.21(188.64),NS(NS),187.99,144.74(116.41),125.86(94.21),125.52(105.11),112.59(74.60)
05/05/2021,231.55(NS),204.45(150.50),198.30(209.05),NS(NS),179.12,137.51(122.03),121.53(94.84),122.24(NS),190.20(77.05)
01/05/2021,223.69(NS),198.18(217.56),198.32(204.25),NS(NS),167.87,135.30(125.94),117.49(97.55),119.36(NS),103.19(77.26)
24/04/2021,226.63(NS),199.46(111.34),209.78(129.50),NS(NS),185.53,138.18(122.94),114.53(92.09),122.79(105.94),106.26(79.29)
17/04/2021,224.79(NS),NS(NS),211.39(NS),NS(NS),184.14,148.42(130.27),114.80(NS),121.71(NS),106.17(NS)
10/04/2021,203.98(NS),231.33(NS),213.18(NS),NS(NS),211.37,156.52(121.58),117.63(NS),125.18(NS),104.82(NS)
03/04/2021,NS(NS),157.33(NS),NS(NS),NS(NS),NS,NS(NS),120.10(NS),130.24(NS),113.84(NS)
27/03/2021,148.74(NS),NS(NS),169.16(NS),NS(NS),NS,163.90(NS),123.85(NS),131.52(NS),114.29(NS)
20/03/2021,NS(104.29),NS(82.62),NS(NS),NS(NS),NS,164.98(114.00),123.84(82.31),130.11(90.06),112.89(58.29)
13/03/2021,145.50(90.82),149.69(NS),NS(NS),NS(NS),NS,164.78(113.86),122.67(80.37),131.55(95.57),113.60(59.99)
06/03/2021,147.73(101.49),NS(86.14),NS(91.25),NS(NS),NS,165.52(116.51),121.86(79.65),131.85(91.62),117.88(63.03)
27/02/2021,157.71(103.45),158.58(89.03),NS(NS),NS(NS),NS,166.93(115.54),125.61(80.73),138.91(92.45),117.14(61.16)
20/02/2021,170.57(109.64),146.18(86.02),150.80(96.62),NS(NS),147.02,165.59(115.86),131.51(79.97),138.47(93.35),118.02(67.18)
13/02/2021,174.16(111.38),148.15(92.23),151.70(97.72),NS(NS),147.27,169.20(116.70),133.23(82.20),140.76(92.75),118.78(66.60)
