Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
31/12/2022,180.61(191.56),155.85(162.42),154.78(165.34),NS(NS),123.40(144.13),NS(NS),112.13(NS),NS(NS),104.56(NS)
24/12/2022,184.51(195.20),160.73(167.91),158.95(172.21),NS(NS),148.94(158.49),139.19(137.55),111.37(94.21),119.02(111.38),103.79(86.98)
17/12/2022,183.74(192.17),162.55(175.77),166.57(178.90),NS(NS),131.39(160.55),133.14(131.83),109.70(94.01),115.58(107.15),99.52(86.83)
10/12/2022,192.30(201.17),172.12(178.89),172.28(179.26),NS(NS),153.94(143.40),132.28(125.48),107.47(97.54),111.85(106.23),97.11(86.95)
03/12/2022,196.36(209.80),175.94(181.62),169.76(169.49),NS(NS),141.25(136.55),134.92(125.33),109.60(97.42),114.82(99.00),99.33(83.77)
26/11/2022,204.60(224.98),181.44(185.18),167.87(170.54),NS(NS),160.96(148.79),135.27(125.57),112.21(96.12),118.85(100.66),102.97(81.61)
19/11/2022,206.67(223.46),184.06(185.48),170.99(180.46),NS(NS),NS(131.28),138.05(126.65),114.55(92.14),120.42(98.24),108.87(78.55)
12/11/2022,214.24(205.26),188.18(187.18),172.92(186.85),NS(NS),147.10(138.88),138.94(123.52),114.44(89.50),123.02(92.99),106.58(76.70)
05/11/2022,209.49(209.17),194.02(186.43),179.15(190.14),NS(NS),NS(145.62),136.82(122.42),111.77(88.07),117.48(NS),101.22(74.23)
29/10/2022,225.98(203.09),195.48(177.17),184.07(176.53),NS(NS),158.58(140.03),135.07(126.17),106.58(85.58),NS(91.10),93.75(71.75)
22/10/2022,218.39(211.73),203.47(176.98),185.36(175.62),NS(NS),120.93(NS),130.04(123.62),102.40(83.05),110.92(91.68),85.98(76.66)
15/10/2022,216.64(NS),201.39(NS),181.29(NS),NS(NS),157.05(149.51),131.03(118.36),98.31(84.86),112.55(89.75),85.60(76.53)
08/10/2022,NS(208.58),NS(172.81),NS(153.22),NS(NS),NS(147.83),131.33(117.03),96.97(86.30),111.87(89.91),86.26(78.22)
01/10/2022,212.43(210.54),193.12(180.46),175.35(161.56),NS(NS),176.93(116.82),135.56(118.64),100.09(89.50),111.08(95.31),90.21(81.69)
24/09/2022,215.71(210.30),195.06(177.76),169.95(161.88),NS(NS),156.40(142.91),138.81(120.20),98.97(91.16),113.02(95.96),91.55(79.51)
17/09/2022,227.83(203.95),202.41(181.04),173.07(164.62),NS(NS),183.01(152.84),139.92(119.33),97.15(92.86),114.42(95.85),94.25(78.95)
10/09/2022,235.43(204.70),212.39(174.56),182.92(168.68),NS(NS),163.41(147.89),NS(117.78),97.70(92.78),107.18(97.42),91.85(78.80)
03/09/2022,245.11(211.73),216.24(172.35),185.75(169.57),NS(NS),167.52(143.74),145.59(123.61),96.08(94.04),106.52(98.15),88.21(75.35)
27/08/2022,245.61(210.48),212.01(170.71),182.06(173.78),NS(NS),173.79(135.57),142.78(123.83),94.80(92.24),104.87(101.57),82.00(74.54)
20/08/2022,244.30(220.83),210.90(173.40),181.52(169.84),NS(NS),162.97(148.44),145.41(NS),90.16(90.79),100.52(101.68),80.83(79.21)
13/08/2022,245.05(211.27),211.61(173.36),187.41(169.29),NS(NS),169.27(148.41),139.06(119.64),86.95(89.50),99.01(101.24),80.33(76.95)
06/08/2022,250.88(210.38),209.95(175.63),188.79(178.66),NS(NS),169.72(145.00),132.98(120.20),85.65(88.97),100.12(100.70),79.13(79.64)
30/07/2022,250.86(213.93),215.11(180.71),188.67(177.25),NS(NS),160.11(193.62),131.94(118.01),86.41(91.52),96.85(101.26),73.69(80.47)
23/07/2022,240.99(214.17),207.12(183.67),181.92(185.05),NS(NS),192.42(152.80),129.86(117.95),82.71(90.64),95.79(102.37),69.24(80.84)
16/07/2022,236.69(224.12),205.16(195.69),180.06(181.51),NS(NS),176.21(174.92),130.36(116.02),76.57(90.87),94.08(101.84),70.89(81.74)
09/07/2022,248.26(229.40),208.70(207.14),187.17(181.19),NS(NS),181.33(178.29),129.98(116.99),75.78(92.44),92.45(109.01),68.81(78.88)
02/07/2022,257.45(247.99),213.37(225.96),198.41(192.22),NS(NS),163.33(206.35),124.40(122.37),75.58(94.20),93.28(110.08),68.49(87.11)
25/06/2022,258.02(238.82),216.62(230.82),203.85(203.53),NS(NS),251.88(239.89),124.67(124.42),89.01(94.34),92.81(110.82),72.34(NS)
18/06/2022,250.37(236.20),224.31(234.00),207.27(214.41),NS(NS),185.66(200.31),119.26(123.66),76.32(97.51),96.38(110.80),74.12(108.31)
