0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
31/12/2022,163.28(175.37),111.37(NS),158.26(175.37)
24/12/2022,167.17(178.87),122.29(108.75),159.78(164.95)
17/12/2022,170.61(182.88),117.94(107.62),161.16(168.97)
10/12/2022,178.34(186.49),114.89(107.39),166.78(173.14)
03/12/2022,179.77(187.95),116.58(104.29),168.71(171.78)
26/11/2022,183.33(193.12),119.68(103.61),172.26(177.86)
19/11/2022,186.76(194.83),121.45(102.89),175.16(179.24)
12/11/2022,190.02(191.72),121.51(97.74),178.42(174.70)
05/11/2022,192.32(197.54),119.97(97.98),179.77(173.82)
29/10/2022,197.06(184.38),114.46(95.27),181.77(167.83)
22/10/2022,200.57(188.61),109.13(92.97),182.48(169.88)
15/10/2022,198.01(149.51),108.13(93.37),179.75(93.41)
08/10/2022,NS(179.49),108.12(94.25),108.12(163.74)
01/10/2022,192.46(183.99),112.02(98.08),175.55(169.61)
24/09/2022,191.90(182.63),110.39(99.80),176.94(166.48)
17/09/2022,198.56(181.81),108.38(100.30),182.65(163.81)
10/09/2022,208.25(181.06),98.64(96.96),191.27(165.06)
03/09/2022,212.23(182.32),108.09(99.69),191.27(167.44)
27/08/2022,209.69(182.54),108.72(99.05),190.76(165.70)
20/08/2022,208.34(183.56),105.69(91.57),186.31(170.48)
13/08/2022,211.27(182.57),101.74(97.05),184.19(164.25)
06/08/2022,213.33(186.49),101.15(99.12),187.66(169.93)
30/07/2022,214.94(188.83),100.49(98.81),188.02(168.36)
23/07/2022,208.35(191.91),94.45(98.04),177.10(169.39)
16/07/2022,203.70(197.01),89.31(98.15),169.59(173.19)
09/07/2022,211.09(201.79),90.17(97.43),182.83(175.61)
02/07/2022,220.10(216.84),89.43(102.95),187.70(185.79)
25/06/2022,223.02(220.51),104.00(102.75),199.82(180.06)
18/06/2022,224.88(224.71),91.28(106.21),185.49(180.65)
11/06/2022,206.58(226.24),94.50(116.23),171.01(194.58)
04/06/2022,190.59(222.90),97.09(121.34),157.04(187.09)
28/05/2022,182.55(216.28),97.14(139.23),149.78(197.66)
21/05/2022,182.87(214.96),98.88(135.36),152.88(185.02)
14/05/2022,184.57(209.64),102.13(130.33),156.25(173.46)
07/05/2022,195.63(205.92),104.44(124.23),164.40(175.32)
30/04/2022,213.68(199.96),106.35(119.65),179.41(168.07)
23/04/2022,238.25(205.65),106.92(121.54),180.42(176.35)
16/04/2022,237.10(212.37),91.9(122.66),160.35(171.43)
09/04/2022,253.83(212.47),102.80(127.60),147.91(174.50)
02/04/2022,159.11(157.20),104.93(120.57),119.85(129.32)
26/03/2022,144.31(158.23),103.93(141.04),109.55(147.48)
19/03/2022,NS(NS),104.57(140.71),104.57(140.71)
12/03/2022,100.59(146.51),108.60(140.06),108.59(143.54)
05/03/2022,132.14(147.73),112.23(137.18),116.09(142.20)
26/02/2022,134.13(156.87),114.81(143.06),126.31(151.61)
19/02/2022,135.50(156.87),117.12(145.31),121.66(153.31)
12/02/2022,147.27(157.54),118.36(146.09),135.83(154.54)
05/02/2022,149.85(158.52),118.24(142.89),141.97(155.20)
29/01/2022,142.57(162.76),119.27(147.95),135.60(159.99)
22/01/2022,153.93(167.33),116.80(146.29),146.69(163.48)
15/01/2022,160.35(170.94),114.56(147.11),151.39(166.14)
08/01/2022,164.02(172.07),110.04(145.61),153.75(167.12)
01/01/2022,175.37(173.02),NS(108.74),175.37(171.76)
